Serial-number, Stations,               Category,  Transmitter,  Fequency, Studio
396,     UKHIMATH,                     LPT RELAY,       100 W FM ,                        100.1 MHz,
397,     NAINITAL,                     LPT RELAY,       100 W FM ,                        100.1 MHz,
398,     KASHIPUR,                     LPT RELAY,       100 W FM ,                        100.1 MHz,
399,     KALAGARH,                     LPT RELAY,       100 W FM ,                        100.1 MHz,
400,     RANIKHET,                     LPT RELAY,       100 W FM ,                        100.1 MHz,
401,     ASANSOLE,                     RELAY    ,       6 KW FM RELAY ,                    100.3 Mhz,
402,     KOLKATA,                               ,      200 KW MW   ,                     657 khz, TYPE IV UPLINK RNU
403,     KURSEONG,                              ,       50 KW SW   ,                            ,   TYPE II RNU
404,     MURSHIDABAD,                  LRS      ,       6 KW FM    ,                      102.2 Mhz,   MP
405,     SHANTINIKETAN,                LRS      ,       3 KW FM    ,                      103.1 Mhz,   MP
406,     SILIGURI,                              ,       200 KW MW  ,                        711 khz,   TYPE I
407,     DARJEELING,                   LPT RELAY,       100 W FM   ,                      100.2 Mhz,
408,     BALURGHAT,                    LPT RELAY,       100 W FM   ,                     101.00 Mhz,
409,     MEDNIPUR,                     LPT RELAY,       100 W FM   ,                    100.1 Mhz,
410,     PURULIA,                      LPT RELAY,       100 W   FM ,                    100.1 Mhz,
411,     FARAKKA,                      LPT RELAY,       100 W   FM ,                    100.1 Mhz,
412,     KRISHNAGAR,                   LPT RELAY,       100 W   FM ,                    100.1 Mhz,
413,     COOCHBEHAR,                   LPT RELAY,       100 W   FM ,                    100.1 Mhz,
































































