Serial-number, Stations,               Category,  Transmitter,  Fequency, Studio
231,     NASIK,                     LRS  ,       6 KW FM        ,                  101.4 Mhz ,   MP
232,     OSMANABAD,                 LRS  ,       6 KW FM        ,                  101.3 Mhz ,   MP
233,     PARBHANI,                       ,       20 kW MW       ,                   1305 khz ,   TYPE I
234,     PUNE,                           ,       100 KW MW      ,                     792 khz,   TYPE IV RNU
235,     RATNAGIRI,                      ,       20 kW MW       ,                   1143 khz ,   TYPE I
236,     SANGLI,                         ,       20 kW MW       ,                   1251 khz ,   TYPE I
237,     SATARA,                    LRS  ,       6 KW FM        ,                  103.1 Mhz ,   MP
238,     SOLAPUR,                   LRS  ,       10 KW FM       ,                  103.4 Mhz ,   MP
239,     YAVATMAL,                  LRS  ,       6 KW FM        ,                  102.7 Mhz ,   MP
240,     ORAS (Sindhdurganagari),        ,       5 KW FM        ,                 103.60 Mhz ,   Playback with Voiceover recording & field
241,     BULDHANA,                  LPT RELAY,   100 W FM       ,                   100.1MHz,
242,     WARDHA,                    LPT RELAY,   100 W FM       ,                  100.1MHz,
243,     GONDIA,                    LPT RELAY,   100 W FM       ,                   100.1MHz,
244,     JALNA,                     LPT RELAY,   100 W FM       ,                   100.1MHz,
245,     MALEGAON,                  LPT RELAY,   100 W FM       ,                   100.1MHz,
246,     BRAHMPURI,                 LPT RELAY,   100 W FM       ,                   100.1MHz,
247,     AMRAVATI,                           ,   10 KW FM VB    ,                  101.5 MHz , Playback with Voiceover recording & field
248,     IMPHAL,                             ,   300 KW MW      ,                     882 khz , TYPE III Uplink News on Phone RNU
249,     CHURACHANDPUR,             LRS      ,   6 kW FM        ,                   101.4 Mhz ,MP
250,     SENAPATI,                  LPT RELAY,   100 W FM       ,                   100.1 Mhz,
251,     KANGPOKPI,                 LPT RELAY,   100 W FM       ,                   100.1 Mhz,
252,     PARBUNG,                   LPT RELAY,   100 W FM       ,                   100.1 Mhz,
253,     MOREH,                     LPT RELAY,   100 W FM       ,                   100.1 Mhz,
254,     CHANDEL,                   LPT RELAY,   100 W FM       ,                   100.1 Mhz,
255,     JOWAI,                     LRS     ,    6 KW FM        ,                   101.1 Mhz, MP
256,     NONGSTOIN,                 CRS     ,    1 kW MW        ,                    1485 khz, MP
257,     SHILLONG,                          ,    100 KW MW      ,                    864 khz, TYPE II  UPLINK RNU
258,     TURA,                              ,    20 kW MW       ,                   1233 khz, TYPE I
259,     WILLIAMNAGAR,              CRS     ,    1 kW MW        ,                   1602 khz, MP
260,     CHERRAPUNJI,               RELAY   ,    100 W FM       ,                  100.1 MHz,
261,     AIJAWL,                            ,    20 kW MW       ,                     540 khz, TYPE II  UPLINK RNU
262,     LUNGLEH,                           ,    6 KW FM        ,                   101.9 Mhz, MP
263,    SAIHA,                     CRS      ,   1 kW MW         ,                   1602 khz,
264,     RENGDIL,                   RELAY   ,    100 W FM       ,                   100.1 Mhz,
265,     LAISAWRAI,                 RELAY   ,    100 W FM       ,                   100.1 Mhz, MP
266,     LAWNGTLAI,                 LPT RELAY,   100 W FM       ,                   100.1 Mhz,
267,     KOHIMA,                             ,   100 KW MW      ,                     639 khz, TYPE III UPLINK RNU
268,    MOKOKCHUNG,                       LRS,         6 KW FM  ,                         100.9 Mhz, MP
269,    MON,                              CRS,         1 kW MW  ,                          1584 khz, MP
270,    TUENSANG,                         CRS,         1 kW MW  ,                          1602 khz, MP
271,    SAMTORE,                          LPT RELAY,   100 W FM ,                         100.1 Mhz,
272,    DIMAPUR,                          LPT RELAY,   100 W FM ,                         100.1 Mhz,
273,    BARIPADA,                         LRS      ,   5 KW FM  ,                         102.9 Mhz,    MP
274,    BERHAMPUR,                        LRS      ,   6 KW FM  ,                         100.6 Mhz,    MP
275,    BHAWANIPATNA,                              ,   200 KW MW,                          1206 khz,    TYPE I
276,    BOLANGIR,                         LRS      ,    6 KW FM ,                          101.9 Mhz,    MP
277,    CUTTACK,                                   ,   300 KW MW,                           972 khz,    TYPE IV UPLINK RNU
278,    JEYPORE,                                   ,   100 KW MW,                          1467 khz, TYPE I
279,    JORANDA,                          LRS      ,   1 kW MW  ,                           1485 khz,   MP
280,    KEONJHAR,                         LRS      ,   1 kW MW  ,                           1584 khz,   MP
281,    PURI,                             LRS      ,   3 KW FM  ,                         103.4 Mhz,    MP
282,    ROURKELA,                         LRS      ,   6 KW FM  ,                         102.6 Mhz,    MP
283,    SAMBALPUR,                                 ,   100 KW MW,                            945 khz,   TYPE I
284,    DEOGARH,                          LPT RELAY,   100 W FM ,                         101.0 Mhz,
285,    SORO,                             LRS      ,   1 KW MW  ,                          1485 KHz,    MP
286,    SUNDERGARH,                       LPT RELAY,   100 W FM,                                   ,
287,    ANGUL,                            LPT RELAY,   100 W FM,                                   ,
288,    PARADEEP,                         LPT RELAY,   100 W FM,                                   ,
289,    PARLAKHEMUNDI,                    LPT RELAY,   100 W FM,                                   ,
290,    BALIGUDA,                         LPT RELAY,   100 W FM,                                   ,
291,    RAYAGADA,                         LPT RELAY,   100 W FM,                                   ,
292,    NUAPARA,                          LPT RELAY,   100 W FM,                                   , 
293,    RAIRANGPUR,                                ,   1 kW FM  ,                        102.0 MHz, Studio with Voice-over recording &
294,    BHATINDA,                         LRS      ,   6 KW FM   ,                        101.1 Mhz,    MP
295,    JALLANDHAR,                                ,   300 KW MW ,                          873 khz,    TYPE IV UPLINK
296,    PATIALA,                          LRS      ,   6 KW FM   ,                        100.2 Mhz,    MP
297,    GURDASPUR,                        LPT RELAY,   100 W FM  ,                        100.1 Mhz,
298,    FEROZEPUR,                        LPT RELAY,   100 W FM  ,                        100.1 Mhz,
299,    LUDHIANA,                                  ,   5 kW FM   ,                        100.1 Mhz, Studio with Voice-over recording &
300,   AJMER,                               RELAY  ,     200 KW MW,                           603 khz,
301,    ALWAR,                               LRS   ,      10 KW FM,                          103.1 Mhz,    MP
302,    BANSWARA,                            LRS   ,      10 KW FM,                          101.3 Mhz,    MP
303,    BARMER,                                    ,      20 kW MW,                           1458 khz,    MP
304,    BIKANER,                                   ,      20 kW MW,                           1395 khz,    TYPE II
305,    CHITTORGARH,                      LRS      ,   10 KW FM   ,                       102.9 Mhz,    MP
306,    CHURU,                                     ,   6 KW FM    ,                       100.7 Mhz,    MP
307,    JAIPUR,                                    ,   1 kW MW    ,                        1476 khz,    TYPE IIIUplink News on phone RNU
308,    JAISALMER,                                 ,   10 KW FM   ,                       101.8 Mhz,    TYPE I
309,    JHALAWAR,                         LRS      ,   6 KW FM    ,                       103.2 Mhz,    MP
310,    JODHPUR,                                   ,   300 KW MW  ,                         531 khz,    TYPE III
311,    KOTA,                             LRS      ,   20 kW MW   ,                        1413 khz,    MP
312,    MOUNT ABU,                                 ,  6 KW FM     ,                      103.5 Mhz,    MP
313,    NAGAUR,                           LRS      ,   6 KW FM    ,                       103.7 Mhz,    MP
314,    SAWAI MADHOPUR,                   LRS      ,   6 KW FM    ,                       101.5 Mhz,    MP
315,    SURATGARH,                                 ,   300 KW MW  ,                         918 khz,    TYPE I
317,     NATHWARA,              LPT RELAY,      100 W FM          ,                100.1 Mhz,
318,     JHUNJHUNU,             LPT RELAY,      100 W FM          ,                100.1 Mhz,
